game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
22,W,checkmate,41,1.693430,110,2026-09-11 02:51:08,e2e4 b8a6 f1a6 a8b8 a2a4 g7g5 c2c3 g8f6 e4e5 f6e4 d2d3 e4c3 b1c3 d7d6 d1e2 c8d7 a6c4 f8g7 g1f3 a7a5 c4b3 d6e5 e1d2 f7f6 d2e3 g7h6 a1a2 g5g4 e3e4 h6g7 f3e5 f6e5 c1d2 g4g3 c3d5 h8f8 d5c3 h7h6 e2h5 f8f7 h5f7
23,D,rule_draw,126,1.685029,115,2026-09-11 02:52:56,h2h4 b7b6 b2b3 h7h5 c1b2 e7e5 b2e5 g8f6 d1c1 f6e4 g2g4 a7a5 h1h2 f7f6 c2c3 f6e5 f1g2 h5g4 g2e4 c7c6 e4h1 e8f7 h1e4 d8f6 f2f4 b6b5 h2h1 e5f4 h4h5 c8a6 e1f1 f4f3 c1c2 d7d6 e2f3 g4f3 a2a4 d6d5 e4f3 f6e5 c2c1 b5a4 g1e2 a4b3 d2d4 e5c7 c3c4 g7g5 c4d5 c6d5 c1c7 f7e6 c7e5 e6f7 b1c3 b8d7 e5c7 a8a7 f1g2 a7c7 c3d5 b3b2 a1b1 a6d3 d5c7 d3b1 h1b1 g5g4 b1b2 g4f3 g2f3 f8d6 c7b5 d6f8 f3g2 h8h5 b5c3 h5h8 b2b1 f8d6 b1f1 d7f6 c3b5 h8g8 g2h1 g8h8 h1g1 h8g8 g1f2 f6e4 f2e1 f7g6 b5d6 e4d6 d4d5 a5a4 f1g1 g6f7 g1g8 f7g8 e2d4 d6f7 d4c2 g8f8 d5d6 a4a3 c2a3 f7d6 a3c2 d6b5 c2b4 b5a3 e1d2 a3b5 d2e1 b5a7 b4d5 a7b5 e1f1 f8e8 f1g1 b5a7 g1f1 e8f7 d5f6 f7f6
24,B,material_adjudication,69,1.700865,120,2026-09-11 02:54:56,g1f3 h7h5 h2h4 a7a5 b1a3 h8h7 h1g1 a8a7 d2d4 f7f6 c1d2 a5a4 a1b1 h7h8 f3g5 f6g5 g1h1 d7d5 a3b5 a7a8 b2b4 c8e6 g2g4 c7c6 g4h5 g5h4 f2f3 h8h5 b5a3 e8d7 c2c4 d5c4 d4d5 e6d5 e2e4 d5e6 f1e2 d7e8 a3c4 e6c4 e2c4 a4a3 c4g8 a8a6 g8e6 g7g5 d1e2 f8g7 b4b5 a6b6 e6g4 h5h6 b5c6 b8c6 b1b6 d8b6 d2e3 g7d4 g4f5 b6c5 e3d4 c6d4 f3f4 d4e2 e1e2 g5f4 f5e6 b7b6 e2d3
25,W,material_adjudication,80,1.712948,125,2026-09-11 02:57:32,b1a3 d7d5 g1f3 f7f6 a1b1 e8d7 d2d3 a7a5 a3c4 c7c6 a2a3 g7g6 c4d2 g6g5 d3d4 f8h6 h1g1 d7e8 g2g4 b8d7 f1h3 h6g7 d2f1 h7h5 g4h5 h8h5 h3d7 c8d7 h2h4 a8c8 c1d2 g5g4 g1g4 d7g4 f3e5 f6e5 f2f3 g4f5 f3f4 e5d4 e2e3 d4e3 d1h5 f5g6 h5g6 e8f8 f1e3 g8f6 a3a4 d5d4 e3c4 f6e4 g6e4 d8c7 d2a5 c7b8 e4f3 b7b5 c4b6 b5a4 b6c8 b8c8 a5d2 g7f6 f3e2 d4d3 e2d3 e7e5 f4f5 e5e4 d3a3 c6c5 a3a4 c8a6 a4a6 f6h4 e1d1 f8e7 a6a5 e7f8
26,B,material_adjudication_moderate,87,1.703629,130,2026-09-11 02:59:16,b1a3 h7h5 a1b1 h5h4 d2d3 b7b6 c1e3 c7c5 e3d4 d7d6 f2f3 e7e6 b1a1 a7a6 e2e4 c5d4 a3b1 a6a5 d1e2 e8e7 e1f2 f7f6 a2a4 b8d7 b1d2 d7e5 b2b3 e5c6 c2c4 d4c3 d2b1 e6e5 b1c3 c8b7 h2h3 b7c8 f2e1 f6f5 e2c2 c8b7 c3d5 e7d7 c2b1 h8h7 d5b6 d8b6 e4f5 b6d4 g1e2 d4d5 h1g1 g8e7 f5f6 g7f6 a1a2 d7c7 e2c3 d5d4 c3e2 d4d5 a2d2 c7c8 g2g3 h7g7 g3g4 c6b4 e2c3 d5c6 d2b2 b4d5 c3d5 e7d5 d3d4 a8b8 f1b5 c6c7 b5d3 e5d4 e1d2 d5e3 g4g5 b7d5 d3e4 c7e7 e4d5 e3d5 g5f6
27,B,material_adjudication,85,1.698118,135,2026-09-11 03:00:15,a2a4 g7g6 e2e3 e7e6 g1h3 d8h4 g2g3 f8a3 g3h4 f7f5 b1c3 a3b4 e3e4 b4c3 d2c3 g8f6 h1g1 f6e4 c1d2 e8f7 g1h1 f7e7 c3c4 e6e5 f1e2 c7c6 h3f4 e7d6 d2c3 d6e7 f4e6 d7e6 h1f1 e7f7 f2f4 e4c3 b2c3 e5f4 d1d2 b8a6 c4c5 a6c5 f1f4 c5e4 d2c1 a7a5 a1a3 g6g5 h4g5 h8d8 f4f3 d8h8 h2h3 a8b8 a3b3 b7b5 a4b5 c6b5 e2f1 b5b4 c3b4 a5b4 f3e3 h8d8 b3b2 e4c5 e3d3 d8d3 f1d3 c8d7 c2c4 c5d3 e1e2 d3c1 e2d2 b4b3 d2c1 e6e5 b2b3 b8b3 c4c5 e5e4 c1c2 b3b4 c2c3
28,W,material_adjudication,66,1.723293,140,2026-09-11 03:00:45,h2h4 b7b6 b2b3 c7c6 g2g4 c8b7 f1g2 f7f5 e1f1 d8c8 d2d4 a7a5 c1a3 g7g6 g1f3 f8g7 g4f5 a5a4 b3a4 a8a6 d1c1 e8d8 c2c3 a6a5 g2h3 a5a8 c1d1 g7f6 d1c1 e7e6 f5g6 h7g6 f3e5 f6e5 d4e5 a8a4 b1d2 a4a3 c1a3 h8h4 a1c1 h4h3 h1h3 g6g5 a3b2 g5g4 h3h5 b7a6 b2c2 g8f6 e5f6 a6b7 f6f7 b8a6 h5h7 a6b4 c2b2 b4c2 c1c2 d8c7 a2a3 c8b8 e2e3 c7d8 b2c1 d8e7
29,W,material_adjudication_moderate,100,1.686993,145,2026-09-11 03:02:26,g1f3 h7h5 b1a3 g8f6 f3e5 h8h7 b2b4 e7e6 e5d7 h7h8 h2h4 f6g4 c2c3 e8d7 g2g3 a7a5 b4a5 b7b6 a5b6 b8a6 f1g2 c7b6 g2a8 f7f6 d2d4 a6c7 a1b1 c7a8 e2e4 f8a3 c1a3 d7c7 d1c2 c8d7 h1f1 h8f8 a3f8 d7a4 c2a4 d8f8 a4c2 f8d8 a2a3 g4e3 f2e3 d8b8 b1b2 g7g6 e4e5 f6e5 e1d1 e5d4 e3d4 e6e5 d1d2 e5d4 f1f3 d4c3 d2c3 c7d6 b2b4 b6b5 a3a4 b5a4 c2d2 d6e7 f3f1 a8c7 c3c4 a4a3 c4c5 c7a6 c5d4 a6b4 g3g4 h5g4 d4c4 e7e8 d2b4 b8b4 c4b4 a3a2 f1c1 a2a1q c1a1 g6g5 h4g5 g4g3 a1g1 e8f8 b4a5 f8g7 g1g3 g7f7 g3g2 f7e6 a5b6 e6d5 g2b2 d5d6
30,W,material_adjudication,80,1.774174,150,2026-09-11 03:03:10,e2e3 g7g6 a2a4 e7e6 f1d3 f8e7 f2f4 e8f8 a4a5 f7f6 c2c3 c7c6 g1f3 h7h5 g2g3 b7b6 e1e2 b6a5 d3c2 b8a6 a1a3 a6b4 c2g6 b4d3 h2h3 e7a3 b1a3 c8a6 g6d3 g8h6 d3a6 h6g8 e2e1 d8c7 a6b5 c6b5 a3b5 c7c6 d2d4 f6f5 c1d2 c6b5 d1b1 b5a4 f3g5 h5h4 b2b3 a4b3 b1b3 h4g3 g5f3 a8b8 b3d1 a5a4 c3c4 g3g2 h1g1 h8h3 e1e2 d7d5 f3e5 a7a6 g1g2 d5c4 g2f2 f8e7 d2c3 a4a3 d1f1 a3a2 e2d2 a2a1q c3a1 e7f6 f1h3 b8a8 e5c6 a8b8 d2c1 g8h6
31,W,material_adjudication,66,1.730088,155,2026-09-11 03:03:40,d2d3 b8a6 d3d4 g8f6 f2f4 a8b8 h2h3 f6e4 g1f3 h7h5 e2e3 c7c5 b2b3 g7g5 a2a4 d7d5 f1c4 d5c4 c1d2 e4c3 d4c5 c3b1 d2c3 c8d7 f4g5 b7b5 c5b6 a6c5 d1b1 c5a4 a1a4 f8g7 c3g7 h8g8 a4c4 g8g7 g2g3 g7g5 f3g5 h5h4 g3h4 a7b6 e3e4 b6b5 c4b4 f7f6 c2c4 f6g5 h4g5 b5c4 b3c4 b8b4 b1b4 d8b8 b4b8 e8f7 e1d1 d7c6 d1c2 c6a4 c2c3 a4b3 e4e5 b3a2 b8a8 a2b1
