game,moves
110,b2b3 h7h6 c2c4 g7g5 c1a3 d7d6 a3b2 g5g4 b2f6 c7c6 f6h8 c8d7
111,f2f3 d7d5 c2c3 a7a5 f3f4 a8a6 a2a4 g8f6 d1b3 h7h5 b3b5 a6c6
112,b2b3 b7b5 a2a4 a7a5 a4b5 d7d6 b1c3 c8g4 e2e3 e7e5 b3b4 g4d1
113,g2g3 g8f6 b2b3 g7g6 c2c4 h7h5 d2d4 c7c6 f2f3 a7a5 c1g5 e7e5
114,e2e3 a7a6 d2d4 b7b6 g2g3 c8b7 b1c3 a8a7 g1e2 b7h1 e3e4 a6a5
115,g2g3 a7a6 b2b4 h7h6 d2d4 f7f5 b4b5 b7b6 g1f3 h6h5 e2e3 d7d5
116,a2a4 b8c6 d2d3 a7a5 c1d2 c6b4 d2b4 e7e5 b4a5 c7c6 g1h3 f7f5
117,b2b3 a7a5 f2f3 e7e5 b1c3 c7c5 g2g3 g8h6 a2a4 b8a6 c3b5 h6g8
118,d2d4 g8f6 f2f3 g7g6 c1d2 d7d5 c2c3 c8d7 g1h3 b7b5 d1c1 a7a6
119,b2b3 g7g6 a2a3 b7b5 h2h3 f7f6 h1h2 e7e6 f2f4 g8e7 e1f2 g6g5
120,g1f3 c7c5 b1c3 b7b6 g2g3 b8c6 d2d4 c8a6 h2h4 e7e5 d4d5 g8h6
121,g1f3 e7e6 f3h4 e6e5 b2b3 b8c6 f2f3 a8b8 c2c3 g8e7 a2a4 f7f6
122,b2b3 a7a5 f2f3 g7g5 f3f4 c7c5 e1f2 g5g4 c2c3 a8a7 a2a3 c5c4
123,g2g3 g8f6 g1f3 h7h5 c2c3 b8c6 d2d4 h8g8 c1g5 c6d4 h1g1 d4f3
124,b2b3 a7a5 f2f3 e7e5 a2a4 c7c5 g1h3 d7d6 c2c3 e8e7 c3c4 f7f5
125,g1f3 h7h6 g2g4 a7a5 e2e4 d7d6 e4e5 e7e6 f1e2 g8e7 g4g5 h8g8
126,b2b4 g7g6 d2d3 e7e6 g1f3 b8c6 e2e3 e6e5 b4b5 f8d6 a2a4 b7b6
127,b2b3 f7f6 h2h3 a7a6 g2g4 a8a7 a2a3 c7c6 c2c3 e7e5 h1h2 f8a3
128,b2b3 c7c5 f2f4 d7d5 c2c4 g7g5 a2a3 a7a5 h2h3 a5a4 b1c3 e8d7
129,c2c4 b7b6 b2b3 a7a6 e2e4 a8a7 f2f3 c8b7 a2a3 f7f6 f3f4 c7c6
130,b2b3 e7e5 c2c4 b8c6 e2e4 g7g6 g2g4 f8e7 a2a4 g8f6 c1b2 a7a5
131,b2b3 a7a6 f2f3 d7d5 g2g3 c8d7 c2c4 e7e5 b1c3 g8h6 e2e4 g7g5
132,f2f3 e7e5 b1a3 f7f5 g2g3 f5f4 g1h3 h7h5 a3b5 d7d5 e2e4 f4e3
133,b2b3 d7d6 e2e3 d6d5 g1e2 f7f6 c2c4 d8d7 e3e4 e7e5 f2f3 g7g5
134,b2b3 b7b6 c2c3 d7d5 e2e4 c7c5 f1e2 e7e6 e4d5 h7h6 h2h4 g8f6
