game,moves
94,e2e4 a7a5 b2b4 g7g5 f1b5 e7e5 g1h3 c7c6 b1a3 a8a7 b5a4 d7d6
95,e2e4 g7g5 e1e2 g8f6 c2c3 c7c6 e2e3 f8h6 b2b3 b7b6 a2a4 a7a5
96,g2g4 g7g5 e2e3 a7a5 e3e4 g8h6 e1e2 a8a7 b2b3 b7b6 a2a4 c7c6
97,e2e4 d7d5 a2a3 h7h5 d2d4 g7g5 g1h3 c7c5 b2b3 b7b6 g2g4 f8g7
98,g2g4 a7a5 a2a3 g7g5 g1h3 a8a7 a1a2 h7h6 e2e4 c7c6 d1e2 e7e5
99,g2g4 b8a6 b1a3 c7c5 a1b1 b7b6 d2d4 a6b4 e2e3 a7a5 g1h3 g8h6
100,g1f3 g8h6 a2a3 e7e5 b2b4 f8c5 g2g4 c7c6 d2d4 g7g6 c2c3 d8c7
101,c2c4 g7g5 b1c3 f8g7 b2b3 h7h5 c4c5 a7a5 h2h3 e8f8 g1f3 h8h7
102,g1f3 g7g5 e2e3 g8h6 a2a3 b7b6 e3e4 b8a6 f3g5 f7f5 b2b3 b6b5
103,g1f3 g7g5 c2c3 c7c5 b2b3 e7e5 a2a3 b7b5 a1a2 g8f6 g2g4 d8c7
104,c2c4 c7c5 a2a3 g7g5 f2f4 b7b6 g1f3 e7e5 f3h4 e8e7 b2b3 f7f5
105,g2g4 g7g6 e2e4 e7e5 d2d3 c7c5 d1f3 d8c7 b1a3 e8e7 e1d1 b7b6
106,c2c3 b8a6 g2g4 g8f6 e2e4 a8b8 f1g2 g7g5 e1f1 c7c6 d2d4 f6g4
107,c2c3 g7g5 e2e3 c7c5 f2f3 b7b6 b2b4 a7a5 a2a3 e7e6 g1h3 e8e7
108,b1c3 c7c5 e2e3 g7g6 a2a3 e7e5 d2d4 g8h6 d4e5 e8e7 c3b1 h8g8
109,e2e3 g7g5 g2g4 g8f6 b1a3 e7e5 f1g2 f6g4 g2c6 h7h5 g1f3 g4h6
110,g2g4 a7a5 a2a3 g7g5 a1a2 a8a7 h2h3 c7c6 f1g2 b8a6 c2c3 e7e5
111,g2g4 g7g5 b1c3 c7c5 a1b1 d8c7 c3d5 f8h6 e2e3 g8f6 d2d4 f6g4
112,g2g4 g7g5 c2c4 g8h6 e2e4 f7f5 d2d4 d7d6 a2a3 c7c6 e1e2 h8g8
113,g2g4 g7g5 e2e3 d7d5 g1h3 a7a5 d2d4 a8a7 f1d3 b7b6 d3b5 c7c6
114,g2g4 c7c6 a2a3 g7g5 a1a2 e7e5 d2d4 h7h5 c2c4 a7a5 f1g2 f7f5
115,g2g4 b7b6 a2a4 d7d5 d2d4 c8g4 g1h3 g7g5 e2e3 b8a6 d1d3 f7f6
116,c2c3 g7g5 g2g4 e7e5 g1f3 a7a5 b1a3 a8a7 e2e4 c7c6 a1b1 g8f6
117,g2g4 f7f6 g1h3 d7d5 a2a3 f6f5 c2c3 e7e5 f2f3 g8h6 h3g5 b8a6
118,c2c3 g7g5 b1a3 a7a5 g2g4 e7e5 a1b1 c7c6 b2b3 d8c7 c1b2 f7f5
119,c2c3 e7e5 e2e3 g7g5 g2g4 a7a5 a2a3 f8g7 f1g2 c7c6 e1e2 d7d5
